,min_dist,min_dur
1725,2765.5,363.89
1726,14632.09,1251.56
1727,22530.57,1291.26
1728,7011.6,573.48
1729,5495.58,599.29
1730,836.26,146.06
1731,39529.76,2163.31
1732,1080.2,160.94
1733,5118.94,529.18
1734,2350.74,323.33
1735,10658.89,812.86
1736,8195.9,666.68
1737,1375.56,156.54
1738,862.63,174.45
1739,2003.7,303.78
1740,20380.71,1329.04
1741,980.88,148.54
1742,16358.16,1056.55
1743,2347.55,321.5
1744,5218.05,497.48
1745,583.96,104.35
1746,6829.12,695.85
1747,80032.04,4206.79
1748,67494.55,4104.18
1749,696.84,104.93
1750,4543.15,527.78
1751,31295.57,1725.71
1752,15533.2,1118.82
1753,276993.44,11988.58
1754,52316.59,2503.1
1755,1875.91,291.75
1756,30076.85,1634.6
1757,1537.24,241.19
1758,337.32,80.15
1759,2531.79,386.82
1760,914.59,155.06
1761,2810.91,344.84
1762,7080.94,713.95
1763,1329.72,205.9
1764,66649.84,3135.49
1765,8533.46,837.39
1766,1084.45,129.26
1767,721.35,135.92
1768,721.35,135.92
1769,152942.5,6288.81
1770,153050.91,6292.29
1771,992.78,150.93
1772,1835.01,159.99
1773,15676.36,1090.92
1774,1024.57,150.07
1775,451.74,64.51
1776,5525.2,688.88
1777,2099.57,245.94
1778,1069.06,207.35
1779,674.95,92.87
1780,11529.71,827.99
1781,508792.22,20869.26
1782,5732.22,563.16
1783,23504.95,1565.63
1784,56832.5,2759.46
1785,56832.5,2759.46
1786,5621.34,546.57
1787,100535.01,4510.04
1788,153462.55,7086.74
1789,45964.57,2821.53
1790,46795.62,2857.99
1791,2076.43,282.7
1792,30357.78,1642.83
1793,1375.36,209.35
1794,907.93,144.79
1795,29069.04,1618.15
1796,626.89,140.41
1797,97942.04,4448.01
1798,1987.39,205.73
1799,1884.55,221.03
1800,838.77,134.91
1801,3722.75,307.25
1802,1559.33,282.16
1803,12315.71,955.48
1804,1410.28,202.27
1805,2226.24,317.32
1806,1797.98,218.78
1807,1674.54,263.75
1808,768.59,107.99
1809,1816.07,248.4
1810,1480.03,198.55
1811,802.71,119.32
1812,99539.59,4768.65
1813,52760.11,2563.63
1814,3492.49,337.07
1815,157983.41,7448.07
1816,22451.24,1415.35
1817,817.33,120.71
1818,9262.87,878.07
1819,2029.28,234.34
1820,90841.73,4051.71
1821,419.52,72.01
1822,849.36,92.56
1823,721.35,135.92
1824,721.35,135.92
1825,867.44,117.41
1826,3842.08,472.14
1827,1263.05,160.28
1828,44493.36,2435.6
1829,16075.94,1188.41
1830,34227.35,1980.1
1831,78864.34,3454.75
1832,1894.2,205.56
1833,104000.89,4787.2
1834,977.18,169.74
1835,1255.86,164.93
1836,48020.06,2265.38
1837,97934.28,3879.32
1838,1741.32,242.03
1839,2460.43,259.93
1840,2155.72,230.79
1841,2121.56,266.91
1842,1636.87,214.25
1843,21290.2,1355.67
1844,646.39,94.79
1845,767.53,148.02
1846,767.53,148.02
1847,767.53,148.02
1848,767.53,148.02
1849,767.53,148.02
1850,10693.42,842.64
1851,3060.91,390.08
1852,770.76,130.27
1853,10435.99,937.84
1854,1855.98,270.34
1855,1577.78,272.12
1856,1622.51,236.26
1857,2017.75,234.35
1858,105216.6,4824.72
1859,165.27,39.13
1860,3060.91,390.08
1861,44260.35,2665.93
1862,3151.54,368.9
1863,420.92,49.75
1864,14082.18,1172.0
1865,1821.25,233.8
1866,45048.92,2738.01
1867,1090.09,147.14
1868,1108.29,176.79
1869,639.87,92.17
1870,2033.65,284.1
1871,19687.64,1527.08
1872,13148.73,889.05
1873,3630.58,565.41
1874,1505.95,159.38
1875,4645.55,531.15
1876,71240.16,3466.8
1877,990.34,103.74
1878,804.59,129.6
1879,1581.26,315.19
1880,792.32,144.73
1881,6663.49,759.46
1882,621.21,111.05
1883,1125.49,153.45
1884,1371.2,186.54
1885,1741.34,246.4
1886,1615.59,163.84
1887,8319.1,900.11
1888,323890.44,14438.91
1889,129128.24,6520.63
1890,613.79,93.17
1891,88632.16,3840.37
1892,665.47,95.9
1893,667.72,126.39
