suburb,postcode,latitude,longitude,isNewDevelopment,bathrooms,bedrooms,carspaces,propertyTypes,status,channel,price_per_week,time_to_nearest_train_station(min),distance_to_nearest_train_station(km),distance_to_nearest_school(km),time_to_nearest_school(min)
Southbank,3006,-37.82701429999999,144.9580748,False,2,2,0,apartmentUnitFlat,live,residential,660.0,3.39,1.56,0.81,1.78
Maribyrnong,3032,-37.78383729999999,144.8929121,False,1,1,1,apartmentUnitFlat,live,residential,450.0,5.58,2.76,1.33,2.01
Pascoe Vale,3044,-37.7307661,144.9359547,False,2,2,1,townhouse,live,residential,610.0,1.26,0.72,0.21,0.39
Wyndham Vale,3024,-37.8946966,144.6088088,False,2,4,2,house,live,residential,550.0,4.82,2.95,0.11,0.26
Strathtulloh,3338,-37.7163843,144.597842,False,2,3,2,house,live,residential,440.0,2.25,1.01,0.79,1.35
St Kilda East,3183,-37.8671088,145.006769,False,1,2,1,apartmentUnitFlat,live,residential,650.0,3.59,1.96,0.88,1.53
Epping,3076,-37.6541998,145.0404269,False,1,3,1,apartmentUnitFlat,live,residential,450.0,3.17,0.94,1.08,3.25
Maribyrnong,3032,-37.7818177,144.8928189,False,2,2,1,apartmentUnitFlat,live,residential,540.0,6.09,2.91,0.75,2.16
Wollert,3750,-37.6103071,145.0416383,False,2,3,1,house,live,residential,510.0,12.63,9.5,2.13,4.5
Lara,3212,-38.0101078,144.381716,False,2,4,2,house,live,residential,630.0,7.99,6.64,1.31,2.51
Werribee,3030,-37.8952181,144.6765364,False,1,3,2,house,live,residential,450.0,4.75,2.18,2.17,4.09
Mount Duneed,3217,-38.2181571,144.310907,False,2,4,2,house,live,residential,590.0,10.52,5.15,2.49,6.91
Clayton,3168,-37.9258541,145.1120282,False,1,2,1,apartmentUnitFlat,live,residential,530.0,3.21,1.49,0.99,2.0
Melbourne,3000,-37.8082052,144.9589035,False,1,2,0,apartmentUnitFlat,live,residential,750.0,1.98,0.9,0.83,1.99
Endeavour Hills,3802,-37.9754934,145.2706281,False,2,4,2,house,live,residential,600.0,9.77,5.45,0.65,1.18
Clyde North,3978,-38.0918868,145.3460991,False,2,4,2,house,live,residential,650.0,11.54,8.28,3.54,6.21
Ripponlea,3185,-37.8808981,144.9956044,False,1,2,1,apartmentUnitFlat,live,residential,530.0,2.15,0.72,0.97,3.09
Laverton,3028,-37.8613494,144.7761889,False,1,2,1,house,live,residential,495.0,4.69,1.8,1.55,3.31
Melton South,3338,-37.6943259,144.575063,False,2,4,2,house,live,residential,450.0,3.82,1.69,0.46,0.89
Cranbourne East,3977,-38.1186071,145.2939826,False,2,4,2,house,live,residential,630.0,5.15,3.29,0.6,1.18
Nungurner,3909,-37.8835349,147.8871771,False,2,3,0,house,live,residential,460.0,37.21,33.75,2.25,8.82
Melbourne,3000,-37.813306,144.9553567,False,1,2,0,apartmentUnitFlat,live,residential,600.0,1.02,0.37,0.26,0.66
Sorrento,3943,-38.3397996,144.7398149,False,1,2,1,apartmentUnitFlat,live,residential,580.0,47.3,49.24,0.2,0.81
North Melbourne,3051,-37.7962788,144.9401218,False,2,2,1,apartmentUnitFlat,live,residential,695.0,2.18,1.04,0.71,2.24
Wendouree,3355,-37.528676,143.8232737,False,1,2,0,house,live,residential,330.0,4.21,1.93,0.58,1.81
Melbourne,3000,-37.8129971,144.9631733,False,1,1,0,apartmentUnitFlat,live,residential,500.0,2.28,0.93,0.84,2.12
Elwood,3184,-37.8804035,144.9917437,False,1,2,1,apartmentUnitFlat,live,residential,720.0,2.98,1.17,0.78,1.8
Doncaster East,3109,-37.7627118,145.1729012,False,1,2,1,apartmentUnitFlat,live,residential,570.0,13.29,8.08,1.77,3.3
Kilmore,3764,-37.2900582,144.9313344,False,2,3,1,house,live,residential,395.0,9.57,6.7,2.43,3.34
Geelong,3220,-38.148919,144.3729096,False,2,3,1,townhouse,live,residential,765.0,5.52,2.53,0.65,1.96
Wodonga,3690,-36.1260891,146.8507074,False,1,2,1,apartmentUnitFlat,live,residential,450.0,9.38,4.2,0.67,1.83
Lara,3212,-38.0327237,144.3952384,False,1,3,3,house,live,residential,480.0,5.87,3.09,0.37,0.76
Ivanhoe,3079,-37.7590022,145.0447594,False,1,2,1,apartmentUnitFlat,live,residential,480.0,3.13,1.78,0.71,0.96
Doreen,3754,-37.5964158,145.1185425,False,2,4,2,house,live,residential,550.0,5.25,2.65,0.29,0.72
Rockbank,3335,-37.7379359,144.6557536,False,2,4,2,house,live,residential,480.0,2.93,1.53,2.38,4.97
Edithvale,3196,-38.041424,145.118837,False,2,3,2,apartmentUnitFlat,live,residential,750.0,2.12,1.38,1.01,2.12
Kensington,3031,-37.7963923,144.9349855,False,1,2,0,house,live,residential,600.0,1.71,0.66,0.93,2.54
Kialla,3631,-36.4077551,145.3741466,False,2,6,3,house,live,residential,700.0,5.11,3.21,2.88,5.13
Truganina,3029,-37.7612631,144.6739511,False,2,4,2,house,live,residential,530.0,10.49,7.09,5.52,9.91
South Yarra,3141,-37.8370187,144.9997816,False,2,2,1,apartmentUnitFlat,live,residential,750.0,2.13,1.01,0.76,1.62
Reservoir,3073,-37.7139816,145.0033967,False,1,2,1,apartmentUnitFlat,live,residential,590.0,2.42,0.71,0.7,2.41
Williamstown,3016,-37.8654162,144.908494,False,2,2,1,apartmentUnitFlat,live,residential,750.0,1.61,0.44,0.48,1.01
